Price,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,Touchscreen,rating
45650,4,0,0,2,1,0,1,1,0,0,0,0,2
41990,5,0,0,0,1,0,1,1,0,0,0,0,1
45490,5,0,0,0,1,0,1,1,0,0,0,0,2
44990,0,0,0,2,1,0,1,1,0,0,0,0,1
42990,1,0,0,2,1,0,1,1,0,0,0,0,2
45490,4,0,0,2,0,0,1,1,0,0,0,0,2
38799,4,0,0,0,0,0,1,1,0,1,0,0,2
69267,4,0,0,2,0,0,1,1,0,0,0,1,1
51649,0,0,0,2,0,0,1,1,0,0,0,0,1
47990,4,0,0,2,0,0,1,1,0,0,0,0,2
40990,0,0,0,0,0,0,1,1,0,0,0,0,2
42990,0,0,0,0,0,0,1,1,0,0,0,0,2
44890,0,0,0,2,0,0,1,1,0,0,0,0,1
41490,0,0,0,0,0,0,1,1,0,0,0,0,2
50990,4,0,0,2,0,0,1,1,0,1,0,0,1
48900,4,0,0,2,0,0,1,1,0,0,0,0,2
41790,5,0,0,0,0,0,1,1,0,0,0,0,1
57999,1,0,0,2,0,0,1,1,0,0,0,1,1
45930,5,0,0,2,1,0,1,1,0,0,0,0,1
55490,4,0,0,2,1,0,1,1,0,0,0,1,2
32890,0,0,0,0,1,0,0,0,0,0,0,0,1
35990,1,0,0,0,1,0,0,0,0,0,0,0,2
42490,5,0,0,2,1,0,0,0,0,0,0,0,2
42190,5,0,0,2,1,0,0,0,0,0,0,0,1
39490,5,0,0,0,1,0,0,0,0,0,0,0,2
43690,4,0,0,2,1,0,0,0,0,0,0,0,2
35990,0,0,0,0,0,0,0,0,0,0,0,0,1
43800,5,0,0,2,1,0,0,0,0,1,0,0,2
38990,1,0,0,0,1,0,0,0,0,1,0,0,1
34990,0,0,0,0,0,0,0,0,0,0,0,0,1
38900,0,0,0,2,1,0,0,0,0,0,0,0,1
39990,5,0,0,0,0,0,0,0,0,0,0,0,1
40890,5,0,0,0,0,0,0,0,0,1,0,0,2
36990,1,0,0,0,0,0,0,0,0,0,0,0,1
39990,4,0,0,2,0,0,0,0,0,0,0,0,1
41990,4,0,0,2,0,0,0,0,0,0,0,0,2
43970,5,0,0,2,0,0,0,0,0,1,0,0,1
39790,4,0,0,2,0,0,0,0,0,0,0,0,1
35590,0,0,0,0,0,0,0,0,0,1,0,0,1
36490,4,0,0,0,0,0,0,0,0,0,0,0,1
38990,0,0,0,0,0,0,0,0,0,0,0,0,2
33990,0,0,0,0,0,0,0,0,0,1,0,0,1
43400,5,0,0,0,0,0,0,0,0,0,0,0,2
24990,0,0,2,1,0,1,0,2,0,1,0,0,2
40750,4,0,0,0,0,0,0,0,0,0,0,0,2
43000,5,0,0,0,0,0,0,0,0,0,0,0,2
38000,0,0,0,0,0,0,0,0,0,0,0,0,2
37990,5,0,0,2,1,0,0,0,0,0,0,0,1
49279,4,0,0,3,1,0,0,0,0,0,1,0,2
38999,1,0,0,0,1,0,0,0,0,1,0,0,1
41500,0,0,0,2,1,0,0,0,0,1,0,0,1
36999,2,0,0,2,0,0,0,0,0,1,0,0,1
42900,5,0,0,2,1,0,0,0,0,1,0,0,1
21490,0,0,2,1,0,1,0,2,0,1,0,0,1
41480,5,0,0,2,1,0,0,0,0,1,0,0,1
32990,0,0,0,0,1,0,0,0,0,0,0,0,0
38680,0,0,0,2,1,0,0,0,0,0,0,0,1
23990,0,0,2,1,0,1,0,2,0,1,0,0,2
40390,5,0,0,0,1,0,0,0,0,0,0,0,1
33990,0,0,0,0,0,0,0,0,0,0,0,0,1
20490,0,0,2,1,0,1,0,2,0,1,0,0,1
41490,5,0,0,0,1,0,2,0,0,0,0,0,3
45490,5,0,0,2,1,0,2,0,0,0,0,0,2
44490,5,0,0,2,1,0,2,0,0,0,0,0,2
41890,0,0,0,2,1,0,2,0,0,0,0,0,2
42990,5,0,0,2,0,0,2,0,0,0,0,0,2
40990,2,0,0,2,1,0,2,0,0,0,0,0,2
48990,5,0,0,2,1,0,2,0,0,0,0,0,2
43590,5,0,0,2,0,0,2,0,0,0,0,0,1
44690,5,0,0,0,0,0,2,0,0,0,0,0,2
40990,0,0,0,0,0,0,2,0,0,0,0,0,1
43990,5,0,0,2,0,0,2,0,0,0,0,0,1
41390,5,0,0,0,0,0,2,0,0,0,0,0,2
44290,5,0,0,0,0,0,2,0,0,0,0,0,1
48999,5,0,0,2,0,0,2,0,0,0,0,0,1
39990,5,0,0,2,0,0,2,0,0,0,0,0,1
46390,5,0,0,0,1,0,2,0,0,0,0,0,0
18990,0,0,2,1,0,1,0,2,0,0,0,0,1
17990,0,0,2,1,0,1,0,2,0,1,0,0,1
26470,4,0,2,1,0,0,0,2,0,0,0,0,1
27990,4,0,2,1,0,0,0,2,0,0,0,0,1
29999,1,0,2,1,0,0,0,0,0,1,0,0,1
25990,1,0,2,1,0,2,0,2,0,0,0,0,1
16990,1,0,2,1,0,1,0,2,0,1,0,0,1
24990,1,0,2,1,0,1,0,2,0,1,0,0,0
50990,2,0,1,1,1,3,0,2,0,1,2,0,2
119990,2,0,1,1,1,1,0,2,0,1,0,0,2
94190,2,0,1,0,1,1,0,2,1,1,0,0,2
106167,0,0,1,0,1,1,0,2,1,1,2,0,2
